Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
1096,12,17,NA,NA,NA,96,NA,JAPAN:  ENSHUNADA,34,137.5,NA,8.4,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,2,22,NA,NA,NA,2992,NA,JAPAN:  NANKAIDO,33,135.5,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,NA,NA,NA,NA,NA,NA,NA,IRAN:  KHORASAN,36,59,10,6.5,10,60000,NA,NA,NA,NA,NA,60000,NA,NA,NA,NA,NA
1102,2,28,NA,NA,0,NA,NA,AFGHANISTAN:  GERAT,35,62.1,15,6.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,12,10,NA,NA,0,NA,NA,IRAN:  QAZVIN,36.2,50,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,8,30,NA,NA,NA,NA,NA,CHINA:  GANSU PROVINCE,36.1,103.7,NA,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1143,4,NA,NA,NA,NA,NA,NA,CHINA:  NINGXIA,38.5,106.3,NA,6,8,10000,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA
1151,NA,NA,NA,NA,0,NA,NA,SYRIA:  BUSRA,32.6,36.7,NA,6.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1160,NA,NA,NA,NA,0,NA,NA,ISRAEL,32,35.5,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1175,NA,NA,NA,NA,0,NA,NA,TURKMENISTAN,37.5,65.5,15,7.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,NA,NA,NA,NA,0,NA,NA,SYRIA:  BUSRA,32.6,36.7,NA,6.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,NA,NA,NA,NA,0,NA,NA, ISRAEL:  PALESTINE,32.6,36.7,NA,6.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202,5,20,NA,NA,NA,100,NA,SYRIA:  SOUTHWESTERN,33.5,36,NA,7.6,11,30000,NA,NA,NA,NA,NA,30000,NA,NA,NA,NA,NA
1208,7,16,NA,NA,NA,NA,NA,"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",36.3,57.6,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,NA,NA,NA,NA,NA,NA,NA,TURKMENISTAN:  GURGANDZHE,42,60,10,6.1,9,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,12,4,NA,NA,NA,NA,NA,CHINA:  SHAANXI PROVINCE:  FUSHAN,36,111.8,NA,6.3,9,3000,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA
